DB_ID,SMILES
DB09249,CCCCCCC(C)NN
DB00443,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00244,NC1=CC(C(O)=O)=C(O)C=C1
DB00794,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
DB00749,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
DB00683,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
DB09185,CCOC1=CC=CC=C1OCC1CNCCO1
DB09143,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1
DB00422,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
DB13783,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O
DB09230,CC(C)OC(=O)C1=C(C)NC(N)=C(C1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)OC1CN(C1)C(C1=CC=CC=C1)C1=CC=CC=C1
DB00322,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O
DB00969,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
DB06698,CNCCC1=CC=CC=N1
DB06203,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O
DB09213,CC(C)CC1=CC=C(C=C1)[C@H](C)C(O)=O
DB09378,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB01626,CN(CC#C)CC1=CC=CC=C1
DB01074,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1
DB00270,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
